Song,Album,Summary,,Happiness/Sadness,,,,In/Out of a Relationship,,,,
,,Happy/Sad,Relationship,Feelings of self,Glass half full,Stages,Tempo,Seriousness,Future prospects,Feelings of male,Togetherness,Embed
Cold as You,Taylor Swift,-10,-8,-1,-3,-3,-3,-3,-3,-1,-1,https://open.spotify.com/embed/track/569sXXQ7t0jSdqHooi2yqs?utm_source=generator
I'm Only Me When I'm With You,Taylor Swift,9,10,3,3,1,2,2,2,3,3,https://open.spotify.com/embed/track/7CzxXgQXurKZCyHz9ufbo1?utm_source=generator
Invisible,Taylor Swift,-1,-4,0,-2,1,0,0,0,-1,-3,https://open.spotify.com/embed/track/1k3PzDNjg38cWqOvL4M9vq?utm_source=generator
Mary's Song,Taylor Swift,5,12,0,2,1,2,3,3,3,3,https://open.spotify.com/embed/track/2O8sogKJCfVZ4rotBv1vVF?utm_source=generator
Our Song,Taylor Swift,5,6,2,2,1,0,1,1,3,1,https://open.spotify.com/embed/track/1j6gmK6u4WNI33lMZ8dC1s?utm_source=generator
The Outside,Taylor Swift,-5,-2,-2,-3,-2,2,0,0,0,-2,https://open.spotify.com/embed/track/5Tj2MqcFMf60CaGsKbM1aq?utm_source=generator
A Perfectly Good Heart,Taylor Swift,-4,-8,-2,-3,-1,2,-2,-2,-2,-2,https://open.spotify.com/embed/track/0YgHuReCSPwTXYny7isLja?utm_source=generator
Picture to Burn,Taylor Swift,4,-9,3,1,-3,3,-3,-3,0,-3,https://open.spotify.com/embed/track/4BYejINgfZF0qKDMEH2cim?utm_source=generator
A Place in This World,Taylor Swift,2,-2,1,0,1,0,0,0,0,-2,https://open.spotify.com/embed/track/1oR4MUBpyNrAViC8wPNpfm?utm_source=generator
Should've Said No,Taylor Swift,-5,-6,0,-2,-3,0,-2,-3,2,-3,https://open.spotify.com/embed/track/6CdaXOq1MWe2JHDalTG01d?utm_source=generator
Stay Beautiful,Taylor Swift,3,1,0,1,0,2,0,0,0,1,https://open.spotify.com/embed/track/41sjzdjScVwnxnxADElts6?utm_source=generator
Teardrops On My Guitar,Taylor Swift,-3,-4,1,-1,-3,0,0,0,-1,-3,https://open.spotify.com/embed/track/1hxLyjC9D9Jpw6EAPKqWv4?utm_source=generator
Tied Together With a Smile,Taylor Swift,-7,-6,-3,-3,-1,0,-2,0,-2,-2,https://open.spotify.com/embed/track/2zzxwmoOBnXDT0KnJsoIWk?utm_source=generator
Tim McGraw,Taylor Swift,-1,-2,0,-1,0,0,-1,0,0,-1,https://open.spotify.com/embed/track/2Fn01AIMyHbha2ceNQeOqw?utm_source=generator
Beautiful Eyes,Fearless,2,-2,0,1,1,0,0,0,0,-2,https://open.spotify.com/embed/track/4aBW31cmkA7BLColUsMEeZ?utm_source=generator
Breathe,Fearless,-7,1,-3,-3,-3,2,-1,-1,0,3,https://open.spotify.com/embed/track/7HC7R2D8WjXVcUHJyEGjRs?utm_source=generator
Change,Fearless,7,0,3,1,3,0,-1,0,0,1,https://open.spotify.com/embed/track/3ExweHKZF9B752DPQByRVT?utm_source=generator
Come in with the Rain,Fearless,-1,-3,0,-2,1,0,-1,0,0,-2,https://open.spotify.com/embed/track/1n2wszmJyVkw6FHqyLnQsY?utm_source=generator
Fearless,Fearless,7,7,3,3,1,0,1,2,2,2,https://open.spotify.com/embed/track/77sMIMlNaSURUAXq5coCxE?utm_source=generator
Fifteen,Fearless,2,-4,1,0,1,0,-1,-1,-1,-1,https://open.spotify.com/embed/track/2nqio0SfWg6gh2eCtfuMa5?utm_source=generator
Forever & Always,Fearless,-4,-8,-1,-2,-3,2,-3,-2,-2,-1,https://open.spotify.com/embed/track/1msEuwSBneBKpVCZQcFTsU?utm_source=generator
Hey Stephen,Fearless,8,0,3,3,2,0,0,1,0,-1,https://open.spotify.com/embed/track/550erGcdD9n6PnwxrvYqZT?utm_source=generator
I Heart ?,Fearless,5,-10,2,-1,2,2,-2,-3,-3,-2,https://open.spotify.com/embed/episode/7xxDGCQF4QwnXiH8nW0sqd/video?utm_source=generator
